0	0	0	0.09	0	0	0.05	0.06	0.04	0.09	0	0.03	74.19	2.25	3.5	19.7
0.33	18.49	69.15	7.62	0.4	0.83	0.42	0.26	0.3	0.71	0.67	0.71	0.02	0.02	0.01	0.07
0.53	18.38	56.6	16.37	0.58	3.1	1.01	0.3	0.53	0.67	1.7	0.23	0	0	0	0
0.29	0	8.49	0.04	0.45	0.48	0.41	0.18	0.1	0.49	4.46	31.62	0.04	52.93	0	0
0.44	1.67	0.94	9.11	0.34	0.1	0.12	0.18	1.18	0.26	6.21	0.4	1.02	2	2.86	73.15
0.22	0.8	0.82	4.31	0.15	0.07	0.1	0.09	0.15	0.08	3.23	0.41	1.24	0.69	1.95	85.69
0.46	2.32	2.82	0.53	0.32	0.36	0.14	0.25	0.19	0.58	38.88	30.2	0.46	10.3	0.34	11.83
0.63	9.39	3.08	11.35	0.36	39.67	28.24	0.41	2	3.19	1.49	0.15	0	0	0.01	0.01
0.01	0	0	0	0	0	0	0.06	0	0	0	0	1.1	38.22	17.71	42.89
0.06	0	9.98	0	0.29	0.29	0.38	0.26	0.2	0.18	4.33	32.59	0.35	51.06	0	0
54.2	32.42	3.73	1.65	1.33	0.91	0.72	0.84	0.57	0.97	0.65	1.68	0.2	0.05	0.09	0
0	0	0	0	0	0	0	0	0	0	0	0	0	85.85	1.53	12.6
5.39	0	0	0	1.52	7.26	84.05	1.31	0.45	0	0	0	0	0	0	0
48.51	35.88	3.38	5.54	0.73	0.65	0.59	0.67	1.13	0.45	1.24	1.1	0.02	0.01	0.08	0.02
51.98	31.89	6.59	2.25	0.98	1.4	1.13	0.4	0.9	0.19	1	1.21	0	0	0.08	0
69.27	23.21	0.49	0.15	1.47	0.71	1.86	0.72	0	0.63	0.1	1.18	0.11	0.07	0	0.01
72.2	20.31	0.16	0.41	2.82	0.52	0.55	1.16	0.43	0.5	0.51	0.12	0.23	0	0	0.06
53.65	36.44	2.91	0.18	0.68	0.64	1.73	1.07	0.3	0.35	0	1.67	0.21	0	0.13	0.02
0.11	0.01	0.01	0.01	0.49	0.1	0.15	0	0.05	0.03	0	15.77	5.33	77.93	0	0
0.2	0.05	0.32	0.18	0.4	0.1	0.46	0.07	0.16	0.07	0.19	17.14	5.74	74.86	0.07	0
0.41	17.07	57.29	5.35	0.1	0.29	0.16	0.26	0.22	0.23	8.21	10.4	0	0.01	0	0
2.12	18.25	46.35	3.32	0.13	0.72	0.92	1.63	0.07	0.62	10.29	14.55	0.57	0.35	0.11	0
0.52	17.65	56.61	2.95	0.13	0.09	0.09	0.27	0.18	0.2	8.4	12.91	0	0	0	0
0.87	5.36	33.87	19.33	0.48	0.49	0.63	0.16	0.19	0.25	24	13.6	0.14	0.46	0.15	0.03
0.69	6.61	34.46	15.63	0.38	0.71	0.4	0.38	0.28	0.28	24.14	14.88	0.16	0.88	0.07	0.07
0.24	19.37	51.67	1.19	0.05	0.09	0.37	0.42	0.15	0.26	8.17	17.89	0.02	0.04	0	0.07
72.09	6.32	0	0	16.53	1.32	0	2.17	0.02	0.95	0.59	0	0.02	0	0	0
10.66	0	0.65	3.57	6.43	0.13	2.58	72.57	0	1.28	1.82	0.01	0.29	0	0	0
0.9	17.34	53.58	1.42	0.3	0.43	0	0.19	0.4	0.28	8.01	17.02	0.04	0.08	0.03	0
3.03	19.73	45.69	7.84	0.04	3.83	1.41	0.29	0.27	1.36	6.36	9.5	0.12	0.13	0.21	0.17
0.48	17.3	54.95	16.01	0.49	3.75	2.63	0.24	0.68	1.05	2.12	0.31	0	0	0	0
13.54	54.09	13.64	3.03	0.89	0.5	0.16	0.48	0.16	0.62	1.81	8.88	0.08	0.55	0.2	1.37
0.18	0.09	0.07	0.07	0.07	0.04	0.06	0.18	0.09	0.07	0.45	0.38	0.36	1.02	0.93	95.94
0.03	0.08	0	0.03	0.08	0.08	0.04	0.1	0.04	0.12	0.04	0	0.88	3.59	6.46	88.42
0.02	0.01	0	0	0	0.01	0.02	0.02	0	0.01	0	0.77	0.84	28.03	8.3	61.97
0	0	0	0	0	0	0	0.03	0	0	0	0	16.73	5.58	5.63	72.02
0.14	7.59	0.72	32.67	0.04	0.06	0.01	0.09	0.13	0.05	58.28	0.21	0	0	0	0
0.32	4.71	21.4	2.08	0.08	0.17	0.2	0.19	0.2	0.16	7.01	55.6	0.15	4.85	0.34	2.52
0.65	5.5	9.95	64.48	0.51	0.72	0.37	0.23	0.22	0.04	16.09	1.23	0.01	0	0	0
34.93	26.16	21.28	1.09	0.24	0.48	0.32	0.81	0.24	0.83	4.67	8.08	0.11	0.49	0.12	0.16
47.15	27.17	2.29	4.48	6.23	2.08	5.09	1.27	0.75	1.16	1.35	0.69	0.12	0.13	0.03	0
50.96	32.83	3.04	3.65	5.05	2.27	0.03	1.21	0.96	0	0	0	0	0	0	0
41.85	33.17	4.58	9.74	2.12	1.28	1.68	0.85	0.86	0.95	1.84	0.55	0.29	0.05	0.2	0
24.64	45.65	12.22	11.08	0.13	0.83	1.16	0.13	2	0	0.48	1.66	0	0.01	0	0
67.12	23.78	0.06	2.1	1.36	0.59	0.56	1.24	0.32	0.55	0.95	0.73	0.15	0.23	0	0.27
73.39	0.5	0	0.75	19.56	2.31	0	1.93	0.74	0.81	0	0	0	0	0	0
0	0.04	0.01	0.17	0	0	0	0	0	0	0.13	0	6.23	0	58.33	35.08
50.06	32.08	3.27	5.9	1.94	1.03	1.66	0.48	1.14	0.26	1.11	0.7	0.26	0	0.11	0
39.13	37.51	4.73	10.59	0	0	2.13	1.29	1.4	0.04	2.67	0.49	0	0	0	0
43.46	33.04	6.23	7.51	1.58	1.88	1.8	0.69	0.53	0.73	1.52	0.73	0.23	0	0.07	0
